Team,Date,Opp,Result,Touchdown,Passes Completed,Passes attempted,Inc,Percentage of Passes Completed,Yards,TD.1,Interceptions,Percentage of Touchdowns Thrown when Attempting to Pass,Percentage of Times Intercepted when Attempting to Pass,Quarterback Rating,Times Sacked,Yds.1,Percentage of Time Sacked when Attempting to Pass: Times Sacked / (Passes Attempted + Times Sacked),Yards per Attempt,Net Yards Gained Per Attempt,Adjusted Yards gained per pass attempt,Adjusted Net Yards per Pass Attempt,Yards gained per pass completion (Passing Yards) / (Passes Completed)
GNB,09/10/2022,NYG,L 22-27,2,25,39,14,64.1,207,2,0,5.1,0,96.3,2,15,4.88,5.3,5.05,6.33,6.02,8.3
WAS,09/10/2022,TEN,L 17-21,2,25,38,13,65.8,342,2,1,5.3,2.6,102.9,3,17,7.32,9,8.34,8.87,8.22,13.7
NOR,09/10/2022,SEA,W 39-32,2,17,25,8,68,203,2,1,8,4,103.6,1,6,3.85,8.1,7.81,7.92,7.62,11.9
SFO,09/10/2022,CAR,W 37-15,2,18,30,12,60,244,2,0,6.7,0,109.4,2,9,6.25,8.1,7.63,9.47,8.88,13.6
SEA,02/10/2022,DET,W 48-45,2,23,30,7,76.7,320,2,0,6.7,0,132.6,0,0,0,10.7,10.67,12,12,13.9
DEN,02/10/2022,LVR,L 23-32,2,17,25,8,68,214,2,0,8,0,124.9,3,23,10.71,8.6,7.64,10.16,9.07,12.6
NYJ,02/10/2022,PIT,W 24-20,2,19,37,18,51.4,250,2,2,5.4,5.4,69,1,4,2.63,6.8,6.58,5.41,5.26,13.2
TEN,02/10/2022,IND,W 24-17,2,17,21,4,81,116,2,0,9.5,0,125.6,3,21,12.5,5.5,4.83,7.43,6.5,6.8
DAL,02/10/2022,WAS,W 25-10,2,15,27,12,55.6,217,2,0,7.4,0,107.5,1,6,3.57,8,7.75,9.52,9.18,14.5
LAC,02/10/2022,HOU,W 34-24,2,27,39,12,69.2,338,2,0,5.1,0,113.2,1,2,2.5,8.7,8.45,9.69,9.45,12.5
IND,02/10/2022,TEN,L 17-24,2,27,37,10,73,327,2,1,5.4,2.7,109.7,3,29,7.5,8.8,8.18,8.7,8.05,12.1
JAX,02/10/2022,PHI,L 21-29,2,11,23,12,47.8,148,2,1,8.7,4.3,84.3,4,26,14.81,6.4,5.48,6.22,5.3,13.5
ARI,02/10/2022,CAR,W 26-16,2,23,32,9,71.9,206,2,1,6.3,3.1,96.7,1,1,3.03,6.4,6.24,6.28,6.09,9
HOU,02/10/2022,LAC,L 24-34,2,26,35,9,74.3,215,2,2,5.7,5.7,88.5,4,31,10.26,6.1,5.51,4.71,4.23,8.3
GNB,02/10/2022,NWE,W 27-24 (OT),2,21,35,14,60,244,2,1,5.7,2.9,89.1,1,7,2.78,7,6.78,6.83,6.64,11.6
CIN,29/09/2022,MIA,W 27-15,2,21,32,11,65.6,304,2,0,6.3,0,118,1,6,3.03,9.5,9.21,10.75,10.42,14.5
LVR,25/09/2022,TEN,L 22-24,2,27,45,18,60,300,2,1,4.4,2.2,86.1,1,7,2.17,6.7,6.52,6.56,6.41,11.1
